USERID	Entertainment	Health	News	Sports	Lifestyle
6961435	0	0	1	0	0
6936365	13	0	3	2	1
3315820	1	0	0	1	0
6483021	1	0	0	0	0
1285752	8	0	1	0	0
6992439	1	0	0	0	0
1959718	0	0	0	0	0
2626696	11	0	0	0	0
6683315	1	0	0	0	0
6772067	4	0	0	0	0
6960675	0	0	0	1	0
7005537	2	0	0	0	0
5553281	1	0	0	0	0
1020512	5	0	2	0	0
5080447	2	0	0	0	0
2938052	3	0	1	0	0
6944969	4	0	1	4	0
6970481	1	0	0	0	0
7004455	1	0	0	0	0
214794	2	0	0	0	0
1909556	12	0	1	2	0
3583758	1	0	0	0	0
6832913	3	0	0	0	0
2855398	11	0	0	0	0
3230292	1	0	0	0	0
3820492	1	0	0	0	0
6921835	0	0	0	0	0
6997495	0	0	1	0	0
7012059	1	0	0	0	0
248126	5	0	1	0	0
6120155	0	0	0	0	0
7001605	1	0	1	0	0
1438572	1	0	0	0	0
6817343	2	0	0	0	0
5718621	0	0	0	1	0
204074	0	0	0	0	0
6772499	1	0	0	0	0
3001472	1	0	0	0	0
3513600	4	0	0	0	0
4464860	5	0	0	0	0
5061337	2	0	0	0	0
6378105	23	0	0	0	0
2536864	2	0	0	0	0
6956409	1	0	0	0	0
5308075	0	0	0	0	0
6956157	2	0	0	0	0
233126	1	0	0	0	0
2152496	7	0	0	0	0
2821474	0	0	0	0	0
6953431	1	0	0	0	0
5254643	2	0	1	1	0
6981777	3	0	0	0	0
6993077	2	0	0	0	0
2497414	5	0	0	0	0
6995097	2	0	0	0	0
6995095	7	0	0	0	0
7015207	0	0	1	0	0
4053732	1	0	0	1	0
6844907	1	0	1	0	0
3278072	11	0	0	0	0
4321124	1	0	0	0	0
2593756	14	0	0	0	0
2817130	2	0	0	0	0
1911662	1	0	0	0	0
5907831	9	0	1	0	0
2419630	8	0	5	0	0
6962133	0	0	1	1	0
6962135	1	0	1	0	0
1962772	3	0	0	0	0
5368739	4	0	0	0	0
6961057	4	0	5	1	0
6061575	2	0	0	0	0
5688119	11	0	0	0	0
5688651	1	0	1	0	0
2428884	1	0	0	0	0
5610659	0	1	0	0	0
6731357	1	0	0	0	0
1864610	6	0	0	0	0
6966897	2	0	0	0	0
437718	32	0	0	0	0
5757081	0	0	0	0	0
3033342	5	0	0	0	0
6999851	1	0	0	0	0
5283805	1	0	0	0	0
6912859	1	0	1	0	0
6944255	0	0	0	0	0
6938935	2	0	3	0	0
6977761	1	0	0	0	0
2287766	0	0	1	0	0
6924585	1	0	0	0	0
2151412	12	0	0	0	0
6914963	1	0	0	0	0
6396681	1	0	0	0	0
232610	1	0	0	0	0
6981165	1	0	0	0	0
6340257	3	0	0	0	0
3745302	12	0	0	0	0
6942943	0	0	0	0	0
6981169	1	0	0	1	0
7012927	1	0	0	0	0
5737063	1	0	0	0	0
1903422	12	1	6	0	0
2939486	13	0	9	3	1
6928407	2	0	0	0	0
2057694	2	0	0	1	0
6222829	4	0	0	0	0
6404115	1	0	0	0	0
3218388	3	0	0	1	0
3598260	2	0	1	0	0
3243242	21	0	9	2	0
7016209	0	0	1	0	0
5453765	15	0	8	4	0
2751982	2	0	0	0	0
6470117	1	0	0	0	0
3933128	1	0	0	1	0
4616342	21	0	0	0	0
228926	6	0	3	1	0
6467187	1	0	0	0	0
5880067	1	0	0	0	0
4381902	1	0	0	0	0
1970106	4	0	0	0	0
6967763	0	0	1	0	0
4075296	1	0	0	0	0
2332336	1	0	0	0	0
2496848	2	0	0	0	0
3606726	1	0	0	0	0
3009506	33	1	0	0	0
6598477	0	0	0	0	0
5938017	1	0	1	0	0
4989091	1	0	0	0	0
6889041	2	0	0	0	0
1801590	2	0	0	0	0
3896582	12	0	7	3	0
2657694	1	0	0	0	0
4663272	1	0	0	0	0
2300070	21	0	12	2	0
6883807	1	0	2	0	0
4708487	1	0	0	0	0
4252328	1	0	1	0	0
5835137	1	0	0	0	0
6949223	1	0	0	0	0
6065525	3	0	0	0	0
6970811	1	0	0	0	0
5238959	1	0	1	0	0
5924707	1	0	0	0	0
5924701	1	0	0	0	0
4421832	2	0	0	0	0
3871360	8	0	0	0	0
1902774	1	0	0	0	0
5808071	11	0	0	2	0
6954445	1	0	0	0	0
6449041	2	0	0	0	0
6954443	2	0	0	0	0
2641702	3	0	0	0	0
2907136	1	0	0	0	0
3736172	1	0	0	0	0
2551234	1	0	0	0	0
6950525	6	0	0	0	0
1820040	1	0	0	0	0
2562876	10	0	0	0	0
6338071	2	0	0	0	0
3511298	1	0	0	0	0
6234295	0	0	0	0	0
3690786	5	0	0	0	0
4707901	6	0	0	0	0
6790495	1	0	0	0	0
2420230	1	0	0	0	0
6966273	0	0	1	0	0
748484	1	0	0	1	0
6042011	3	0	0	0	0
6935955	0	0	0	1	0
6964845	0	0	1	0	0
5672959	2	0	0	0	0
6966603	0	0	0	1	0
7004023	3	0	0	0	0
6891439	1	0	0	0	0
6937553	1	0	0	0	0
4379566	4	0	0	0	0
5307765	1	0	0	0	0
3702338	1	0	0	0	0
4645158	10	2	3	0	1
531126	1	0	0	0	0
1536898	10	0	0	0	0
6797561	0	0	1	0	0
5970359	0	0	1	0	0
5540621	1	0	2	0	0
6979303	1	0	0	0	0
1037380	2	1	2	1	0
6514235	1	0	0	0	0
5535803	1	0	0	0	0
5786365	1	0	0	0	0
