# ----------------------------------------
# All Mobile App Data
# Top Events
# 20170620-20170710
# ----------------------------------------

Event Label,Customer User Id,Total Events,Unique Events,Event Value,Avg. Value
"After Rajinikanth, Akshay Kumars 2.0, Zee TV bags Vijays Mersal for Rs 30 cr?",5136281,5,5,0,0.00
"After Rajinikanth, Akshay Kumars 2.0, Zee TV bags Vijays Mersal for Rs 30 cr?",7079231,5,5,0,0.00
"After Rajinikanth, Akshay Kumars 2.0, Zee TV bags Vijays Mersal for Rs 30 cr?",7087869,5,5,0,0.00
"After Varun Dhawan stabbed Baahubali Prabhas, he refused to call him by his name. Heres why",3870972,5,5,0,0.00
"After VIP 2, Dhanush to work with Kajol in VIP 3",7097647,5,5,0,0.00
"After VIP 2, Dhanush to work with Kajol in VIP 3",819358,5,5,0,0.00
Airtel Monsoon Surprise offer with 30GB free data goes live: Heres how to claim,2378132,5,5,0,0.00
Airtel Monsoon Surprise offer with 30GB free data goes live: Heres how to claim,297182,5,5,0,0.00
Airtel Monsoon Surprise offer with 30GB free data goes live: Heres how to claim,7075947,5,5,0,0.00
Airtel Monsoon Surprise offer with 30GB free data goes live: Heres how to claim,7076159,5,5,0,0.00
"Aishwarya Rai Bachchan, Anil Kapoor starrer Fanney Khan to release in April 2018",3139626,5,5,0,0.00
Akshay Kumar shares his look from Gold. But why is the shine missing? See photo,3456276,5,5,0,0.00
Akshay Kumar shares his look from Gold. But why is the shine missing? See photo,816374,5,5,0,0.00
Akshay Kumar turns judge for The Great Indian Laughter Challenge 5. Can you be his best stand up comedian? Watch video,7080475,5,5,0,0.00
"Akshay Kumar, daughter Nitara have a spring in their step as they dance together. Watch their video",7028929,5,5,0,0.00
Akshaye Khanna: Cant expect industry to welcome you with open arms if you return from a break,7105997,5,5,0,0.00
Ali Asgar set to return with Farah Khan to host show Lip Sync Battle on Star Plus,6165423,5,5,0,0.00
All Tubelight songs video and audio: Salman Khan films songs are a pleasant mix of human emotions,1909846,5,5,0,0.00
"Allu Arjuns Duvvada Jagannadham, Salman Khans Tubelight, Simbus AAA set for an epic box office clash on Eid",1539532,5,5,0,0.00
Amitabh Bachchan-Aamir Khan starrer Thugs of Hindostan is rough and tough,3032748,5,5,0,0.00
Amitabh Bachchan-Aamir Khan starrer Thugs of Hindostan is rough and tough,851284,5,5,0,0.00
Anando Brahma: Taapsee Pannus Telugu horror comedy to release in August,4204234,5,5,0,0.00
"Aneri Vajani aka Saanjh of Beyhadh falls prey to body shamers after posting photo in lingerie, see photo",1439716,5,5,0,0.00
"Aneri Vajani aka Saanjh of Beyhadh falls prey to body shamers after posting photo in lingerie, see photo",1747760,5,5,0,0.00
"Aneri Vajani aka Saanjh of Beyhadh falls prey to body shamers after posting photo in lingerie, see photo",2378132,5,5,0,0.00
"Aneri Vajani aka Saanjh of Beyhadh falls prey to body shamers after posting photo in lingerie, see photo",544144,5,5,0,0.00
