# ----------------------------------------
# All Mobile App Data
# Top Events
# 20170201-20170531
# ----------------------------------------

Event Label,Customer User Id,Total Events,Unique Events,Event Value,Avg. Value
Donald Trump signs executive orders to revive economy and bring jobs back to US,947992,79,79,0,0.00
Draft rules for digital payment to be released soon for public consultation: Ravi Shankar Prasad,4450412,79,79,0,0.00
"Drones, satellites on the job as Modi pushes team to meet his election promises",4372104,79,79,0,0.00
Dynamic fuel pricing deepening deregulation: Jefferies,5590757,79,79,0,0.00
Economic reforms: Tax on agriculture income part of Niti Aayogs action plan,6465807,79,79,0,0.00
Economic Survey hints at demonetisation 'windfall' doles in Budget 2017,3370020,79,79,0,0.00
Enemy Property Bill to bring windfall of Rs 1 lakh crore for government,5758281,79,79,0,0.00
Engineering exports may reach over $60 billion this fiscal: Nirmala Sitharaman,5758281,79,79,0,0.00
"ET GBS 2017: GST encouraging but India needs to do more, says Harvard Professor Martin Feldstein",5664773,79,79,0,0.00
ET GBS 2017: Invest and build whatever it takes - top world economist's advice for Modi govt,5749261,79,79,0,0.00
Expect a visit from taxman if you've ignored I-T dept's email,691882,79,79,0,0.00
"Exports increase by 27.6% in March, imports up 45%",3622106,79,79,0,0.00
Fed rate hike to have minimal impact on RBI policy: India Inc,5758281,79,79,0,0.00
Food Ministry favours hike in tur dal import duty to 25%,5256167,79,79,0,0.00
"For faster growth in India, change the land acquisition law: Official",947992,79,79,0,0.00
Foreign investors may take a refreshed stance on India investments after election results,5921933,79,79,0,0.00
"GDP up but job security falls, only 16% earn regular wage",6058021,79,79,0,0.00
Government creates pulses buffer stock of 10 lakh tonnes so far,4082110,79,79,0,0.00
Government exhorts importers to use direct port delivery facility,5651183,79,79,0,0.00
"Government expects to raise Rs 2,82,212 crore from cess in 2017-18",5965279,79,79,0,0.00
Government formulates policy for development near urban transit corridors,4636130,79,79,0,0.00
"Government generates Rs 1,748 crore from auction of 31 coal mines",5758281,79,79,0,0.00
Government hopes to resolve 100 transfer pricing issues by year end,5532875,79,79,0,0.00
Government in advanced talks with entities for investment in NIIF,1239712,79,79,0,0.00
Government looking to sell 51 per cent stake in Dredging Corp,5477301,79,79,0,0.00
Government makes Aadhaar mandatory for availing PDS foodgrains,4998125,79,79,0,0.00
Government nod for professional agency to manage pulses buffer stock,1118286,79,79,0,0.00
"Government ready to roll out GST from July 1, gave industry enough time: Hasmukh Adhia",5420881,79,79,0,0.00
Government releases draft rules for wallet companies,5812895,79,79,0,0.00
Government sets $45 billion textiles exports target for FY18,6865377,79,79,0,0.00
"Government slaps 10% import duty on wheat, tur dal",5004011,79,79,0,0.00
"Government strikes balance between fiscal prudence, growth boost: Goldman Sachs",5153635,79,79,0,0.00
Government to frame policy to further reduce charges on cashless transactions: Hansraj Gangaram Ahir,5256167,79,79,0,0.00
Government warns employees of action for misusing Leave Travel Concession,3375566,79,79,0,0.00
Government-funded schemes must have sunset date: Finance Ministry,6568193,79,79,0,0.00
Govt can make Aadhaar must for opening bank accounts: SC,5749261,79,79,0,0.00
"Govt may cut potash subsidy, raise it for phosphatic fertiliser",5129365,79,79,0,0.00
Govt proposes setting up of Payments Regulatory Board under RBI,4482016,79,79,0,0.00
Govt worry on lower tariffs inconsistent with policy: Trai,2389614,79,79,0,0.00
GST bills in Rajya Sabha; Opposition questions preparedness on new tax regime,5248957,79,79,0,0.00
GST enrolment to restart in a few weeks: FinMin,6783313,79,79,0,0.00
"GST inches closer to July 1 rollout, Council clears all five draft bills",5758281,79,79,0,0.00
"GST not to increase compliance burden, says Hasmukh Adhia",2238974,79,79,0,0.00
GST on market price even in exchange sale?,3895860,79,79,0,0.00
GST should be rolled out in October not July 1: P Chidambaram,1078992,79,79,0,0.00
GST should be rolled out in October not July 1: P Chidambaram,6384583,79,79,0,0.00
Hemant Bhargava appointed LIC's MD,2238974,79,79,0,0.00
"High oil prices, volatile exchange rate risk to inflation: RBI",5219701,79,79,0,0.00
How Donald Trump's immigration order could hurt the US economy,3870972,79,79,0,0.00
"If all you know is accounting, you may not be fit to assess a loan application: Chief Vigilance Commissioner",3426632,79,79,0,0.00
IFCI sets NPA recovery target of Rs 600 crore for Q4 FY17,3142364,79,79,0,0.00
"IIFT, Afghan commerce ministry partner for trade policy programme",454922,79,79,0,0.00
"IIP growth expected to see some uptick in January, says a Kotak report",5076159,79,79,0,0.00
Impact of demonetisation strong in finance real estate and construction growth: Yes Bank,2238974,79,79,0,0.00
Import of Washington Apples pegged about 6 million boxes in 2016-17,5256167,79,79,0,0.00
"In a first since 1991, FDI flow takes care of CAD",6162171,79,79,0,0.00
"In order to improve ease of doing business, Labour Ministry simplifies rules to maintain registers",5224027,79,79,0,0.00
Income Tax department raises queries on suspicious bank account deposits post demonetisation,454922,79,79,0,0.00
Income Tax department raises queries on suspicious bank account deposits post demonetisation,5648799,79,79,0,0.00
Income Tax department raises queries on suspicious bank account deposits post demonetisation,5921933,79,79,0,0.00
India a bright spot despite disruptive reforms: Survey,6532573,79,79,0,0.00
"India allows duty-free imports of 500,000 T of raw sugar: Source",6253233,79,79,0,0.00
India could be Donald Trump's next trade war target,5343849,79,79,0,0.00
India emerges 12th largest holder of US govt securities in 2016,5279749,79,79,0,0.00
India emerges 12th largest holder of US govt securities in 2016,5557837,79,79,0,0.00
India faced a tough year due to disruptive policies: Hurun Report India,2238974,79,79,0,0.00
India gold recycling plan fails to tempt households,5256167,79,79,0,0.00
India gold recycling plan fails to tempt households,5648799,79,79,0,0.00
India has all the ingredients to succeed: Harvard Professor,3269178,79,79,0,0.00
India lifts import ban on six commodities from Vietnam,4222934,79,79,0,0.00
India lifts import ban on six commodities from Vietnam,5590757,79,79,0,0.00
"India lobbies World Trade Organisation to ease flow of services, IT professionals",5550597,79,79,0,0.00
India needs to create bad bank quickly: CEA Arvind Subramanian,4636130,79,79,0,0.00
India on 'brink' of techno-institutional revolution: Ahluwalia,1327282,79,79,0,0.00
"India should cut corporate tax, go for inheritance levy: OECD",3804872,79,79,0,0.00
India strong enough to absorb US Fed rate hike: Government,5758281,79,79,0,0.00
India to grow at 7.7 per cent in 2018-19: IMF,3583462,79,79,0,0.00
India to grow at 7.7 per cent in 2018; EMs face newer challenges: FM Arun Jaitley,5028117,79,79,0,0.00
"India, ADB ink $375 million loan pact for industrial corridor",4636130,79,79,0,0.00
"India, ADB ink $375 million loan pact for industrial corridor",5651183,79,79,0,0.00
"India, Australia sign 6 pacts",1707176,79,79,0,0.00
"India, Germany ratify Social Security Agreement",3928530,79,79,0,0.00
"India, Germany ratify Social Security Agreement",4391024,79,79,0,0.00
"India, Germany ratify Social Security Agreement",5224027,79,79,0,0.00
"India, Germany ratify Social Security Agreement",5651183,79,79,0,0.00
"India, UAE trade to hit $100 billion by 2020: CII",2982040,79,79,0,0.00
India's cotton area seen rising 15 per cent to 3 year high as prices rally,546192,79,79,0,0.00
India's GDP growth after demonetisation doesn't add up: Nomura report,662072,79,79,0,0.00
India's GST challenge makes Donald Trump's tax overhaul look easy,1236994,79,79,0,0.00
India's GST challenge makes Donald Trump's tax overhaul look easy,3622106,79,79,0,0.00
India's Q4 economic growth seen slowing to near 3-year low,5651183,79,79,0,0.00
"India's sugar production till January 31 down by 10%, says ISMA",5153635,79,79,0,0.00
Indian business leaders discuss trade reforms with WTO chief,2149980,79,79,0,0.00
Indian business leaders discuss trade reforms with WTO chief,991792,79,79,0,0.00
"Indians hold equity investments for more than two years, says Dun & Bradstreet study",5651183,79,79,0,0.00
Indias longest highway tunnel to be inaugurated on April 2,3426632,79,79,0,0.00
Information Technology may remain one of the biggest challenges for GST implementation,2339686,79,79,0,0.00
IRS officers seek PM's intervention for smooth roll-out of GST,5651183,79,79,0,0.00
ISMA giving misleading production figure; no need to import sugar: Ram Vilas Paswan,5758281,79,79,0,0.00
J&K tunnel 1st in India to have transverse ventilation system,5256167,79,79,0,0.00
Japan keen to invest in India's food processing sector: Harsimrat Kaur Badal,3456268,79,79,0,0.00
"Karnataka Budget 2017: Siddaramaiah announces more trees, alternative to steel flyover",4452612,79,79,0,0.00
Kerala gives in-principle nod for Sabarimala airport,4572668,79,79,0,0.00
Landmark tax change a 'huge implementation challenge' for India,4957867,79,79,0,0.00
Life insurers see 26% rise in new business income,2708372,79,79,0,0.00
Long waits at toll gates defeat purpose of express ways,6196447,79,79,0,0.00
Lower production could push vegetables prices in coming months,1659952,79,79,0,0.00
Lower production could push vegetables prices in coming months,450634,79,79,0,0.00
Lower tax rates possible when all pay dues: Piyush Goyal,4636130,79,79,0,0.00
Made in India to get preference in public procurement: Official,3686996,79,79,0,0.00
Maharashtra to set up infra SPV to raise Rs 1 lakh crore,5296241,79,79,0,0.00
Make in India an 'old idea': C Rangarajan,3426632,79,79,0,0.00
"MeitY may clear investment plans worth Rs 29,500 crore in next few months",450634,79,79,0,0.00
MEITY to promote digital transactions in place of NITI Aayog,3476186,79,79,0,0.00
Met predicts normal monsoon this year,5651183,79,79,0,0.00
Mills in southern India to gain most from raw sugar imports,6415241,79,79,0,0.00
"Ministers panel to take more time to finalise wage, IR codes",1707176,79,79,0,0.00
Mobile App launched by company for farmers to hire farm machinery,213896,79,79,0,0.00
Modi government plans major policy push to promote e-vehicles,3583462,79,79,0,0.00
Monitor tax collection to meet target by Mar 31: CBDT to taxman,2238974,79,79,0,0.00
MPC begins policy review meet amid rate cut hopes,5285411,79,79,0,0.00
"NABARD to raise Rs 50,000 crore this fiscal",5590757,79,79,0,0.00
New agency to probe anomalies in I-T returns filed post noteban,213896,79,79,0,0.00
New FDI inflow record possible at $36 billion in 9 months,4472642,79,79,0,0.00
New FDI inflow record possible at $36 billion in 9 months,4999293,79,79,0,0.00
"New move to settle retrospective tax cases, CBDT offers interest liability waiver to firms",4458484,79,79,0,0.00
Next set of smart cities to be announced by June end,449816,79,79,0,0.00
NHAI to float bids for monetising 10 national highway projects by April,5291583,79,79,0,0.00
Niti Aayog pushes for lower merchant discount rates,5224027,79,79,0,0.00
Niti Aayog pushes for lower merchant discount rates,6253233,79,79,0,0.00
"Nitin Gadkari reviews NH projects, Brahmaputra Express Highway works",4017786,79,79,0,0.00
No amnesty for bank deposits linked to money laundering: CBDT,5362951,79,79,0,0.00
Non-cash transactions on rise in dairy sector,4042974,79,79,0,0.00
"Note ban lends a hand to consumer lending as consumer-durables & personal loans jump in Nov, Dec",3265482,79,79,0,0.00
