# ----------------------------------------
# All Mobile App Data
# Top Events
# 20170620-20170710
# ----------------------------------------

Event Label,Customer User Id,Total Events,Unique Events,Event Value,Avg. Value
"Govt notifies 18 sections, 2 rules for GST",3422256,5,5,0,0.00
"Govt notifies 18 sections, 2 rules for GST",6432791,5,5,0,0.00
Govt to divest 5% in RCF on Jun 29-30; to raise Rs 200cr,727564,5,5,0,0.00
Govt to soon release digital payment fee policy: Niti Aayog official,6932919,5,5,0,0.00
Govt to soon release digital payment fee policy: Niti Aayog official,7077199,5,5,0,0.00
Great farmer bailout imperils India sovereign-rating upgrade,6770653,5,5,0,0.00
Great farmer bailout imperils India sovereign-rating upgrade,7032099,5,5,0,0.00
Great farmer bailout imperils India sovereign-rating upgrade,7038677,5,5,0,0.00
"GST blues: Millennials, get ready for a tougher life after July 1",727564,5,5,0,0.00
GST Clinics to help traders in smooth transition,216996,5,5,0,0.00
GST Clinics to help traders in smooth transition,3115964,5,5,0,0.00
GST Council to review rollout of GST on August 5,7071811,5,5,0,0.00
GST important achievement but transitional challenges there: ADB president,5607053,5,5,0,0.00
GST intelligence agency gets new chief,7111621,5,5,0,0.00
"GST is a win-win for all: Consumers, businesses and government: Venkaiah Naidu",2565930,5,5,0,0.00
"GST is a win-win for all: Consumers, businesses and government: Venkaiah Naidu",7067369,5,5,0,0.00
GST narrows ambit of duty credit scrip use by exporters,7072681,5,5,0,0.00
GST narrows ambit of duty credit scrip use by exporters,7077583,5,5,0,0.00
"GST pangs for 3 months only, people will adjust to new way of life soon: Revenue Secretary Hasmukh Adhia",727564,5,5,0,0.00
"GST plays killjoy as clubs, NGOs face higher taxes on fundraisers",4694557,5,5,0,0.00
GST primer: What new tax regime means for businesses and individuals,7067401,5,5,0,0.00
GST push for smooth truck ride as checkposts fall,7077199,5,5,0,0.00
GST rate on construction sector hiked to 18%,7068951,5,5,0,0.00
GST rates: Here's your complete guide,7071811,5,5,0,0.00
"GST rates: Tax on devices for disabled actually lower, says Hasmukh Adhia",1194072,5,5,0,0.00
"GST rates: Tax on devices for disabled actually lower, says Hasmukh Adhia",799950,5,5,0,0.00
GST regime: Octroi demise leaves agents jobless,6932919,5,5,0,0.00
"GST registrations for ecommerce, new companies to begin on June 25",2097576,5,5,0,0.00
GST rollout will create one lakh jobs in next three months: Bandaru Dattatreya,7077583,5,5,0,0.00
GST rollout: Cos say retailers refusing to buy fresh stocks; retailers want consumer firms to protect margins,5457501,5,5,0,0.00
GST rollout: Cos say retailers refusing to buy fresh stocks; retailers want consumer firms to protect margins,6917087,5,5,0,0.00
GST rollout: Cos say retailers refusing to buy fresh stocks; retailers want consumer firms to protect margins,7050023,5,5,0,0.00
GST rollout: How businesses & consumers coped with India's biggest tax reform,3636422,5,5,0,0.00
GST rollout: How businesses & consumers coped with India's biggest tax reform,7077199,5,5,0,0.00
GST switchover: Renaming CBEC as CBIC may take a while,7038677,5,5,0,0.00
"GST will cut tax evasion, check price rise: Finance Minister Arun Jaitley",2869614,5,5,0,0.00
GST will generate 10 lakh job opportunities: Haryana Chief Minister Manohar Lal Khattar,2097576,5,5,0,0.00
"GST, cut in subsidy drive up LPG cylinder price",7077199,5,5,0,0.00
GST: 10% duty on imported mobile phones to boost 'Make in India',4886937,5,5,0,0.00
GST: Get price wise on new tax,3115964,5,5,0,0.00
"GST: Penalty, including jail, for manufacturers for not reprinting revised MRP on unsold goods",7035857,5,5,0,0.00
"GST: Penalty, including jail, for manufacturers for not reprinting revised MRP on unsold goods",7095447,5,5,0,0.00
GST: Relief for Amazon and Flipkart as government defers implementation of a provision,4886937,5,5,0,0.00
GST: Relief for Amazon and Flipkart as government defers implementation of a provision,5457501,5,5,0,0.00
Guide to filing GST returns: Revenue secretary Hasmukh Adhia makes it easy for you,3115964,5,5,0,0.00
Guide to filing GST returns: Revenue secretary Hasmukh Adhia makes it easy for you,7058269,5,5,0,0.00
Here's how GST complicates the employee-employer relation,3269178,5,5,0,0.00
Here's why GST could fester into a messy swamp,6969889,5,5,0,0.00
Hope anti-profiteering law won't have to be used: FM Arun Jaitley,7067369,5,5,0,0.00
"Ice cream, tobacco makers can't opt for GST composition scheme",727564,5,5,0,0.00
India's exposure to US securities touch a high of $124 billion,6031921,5,5,0,0.00
Indians should pay taxes to become developed nation: Arun Jaitley,2200226,5,5,0,0.00
"Intelligence Bureau looks into GSTN's safety, week ahead of GST roll-out",302210,5,5,0,0.00
"Intelligence Bureau looks into GSTN's safety, week ahead of GST roll-out",727564,5,5,0,0.00
Irdai defers Ind-AS implementation to April 2020,1526142,5,5,0,0.00
Is RBI's hawkish stance hurting India's growth prospects?,6852351,5,5,0,0.00
June car sales may slide by 8 per cent on GST concerns,3422256,5,5,0,0.00
June car sales may slide by 8 per cent on GST concerns,7027945,5,5,0,0.00
Lawyers are smiling as GST set to fuel litigation wave,3115964,5,5,0,0.00
