# ----------------------------------------
# All Mobile App Data
# Top Events
# 20170201-20170531
# ----------------------------------------

Event Label,Customer User Id,Total Events,Unique Events,Event Value,Avg. Value
India vs Australia: Five reasons why India won the 2nd Test in Bangalore,5668647,159,79,0,0.00
"India vs Australia: I didn't want this to be my last Test, says Glenn Maxwell",3393514,159,79,0,0.00
India vs Australia: R Ashwin praises Ravindra Jadeja and Wriddhiman Saha,3816084,159,79,0,0.00
India vs Australia: Shreyas Iyer called up as potential replacement for Virat Kohli ahead of fourth Test,1014546,159,79,0,0.00
India vs Australia: The final Test of character,2986768,159,79,0,0.00
"India vs Bangladesh 2017: One ball, two reviews",2428648,159,79,0,0.00
"India vs Bangladesh 2017: One ball, two reviews",3323582,159,79,0,0.00
India vs Bangladesh: Patient Murali Vijay and flawless Virat Kohli give India the launchpad,1680808,159,79,0,0.00
India vs England: MS Dhoni hits maiden T20I half-century in 66th innings,2562552,159,79,0,0.00
India-Australia series in four frames,1305130,159,79,0,0.00
Indian theme before Indian team,259176,159,79,0,0.00
IPL 2017 KKR vs GL Stats: Chris Lynn-powered KKR set new records in Rajkot,1095600,159,79,0,0.00
IPL 2017 KKR vs GL Stats: Chris Lynn-powered KKR set new records in Rajkot,6320297,159,79,0,0.00
IPL 2017 Player Auction: Rising Pune Supergiants captain Steve Smith welcomes Ben Stokes,259176,159,79,0,0.00
IPL 2017 Player Auction: Rising Pune Supergiants captain Steve Smith welcomes Ben Stokes,3816084,159,79,0,0.00
"IPL 2017 Venues: Full fixtures, schedule and list of matches to be played at IPL 10 grounds",3816084,159,79,0,0.00
"IPL 2017, KKR vs GL: Sunil Nairne gets highest score in boundaries",4957979,159,79,0,0.00
"IPL 2017, RPS vs MI: Steve Smith, Ajinkya Rahane star in thriller",3816084,159,79,0,0.00
"IPL 2017, RPS vs MI: Steve Smith, Ajinkya Rahane star in thriller",5256167,159,79,0,0.00
"IPL 2017, SRH vs KKR: David Warner, the Ton Riser",2180590,159,159,0,0.00
IPL 2017: Delhi Daredevils rope in Ben Hilfenhaus in place of JP Duminy,2125940,159,79,0,0.00
IPL 2017: From high to low in four years for RCB,4602082,159,79,0,0.00
IPL 2017: Kieron Pollard blasts Sanjay Manjrekar for verbal diarrhea against him,1095600,159,79,0,0.00
"IPL 2017: PV Sindhu cheers for Sunrisers Hyderabad, see pic",5860801,159,79,0,0.00
IPL 2017: Ravindra Jadeja slated for return in Gujarat Lions next game,1095600,159,79,0,0.00
IPL 2017: Sanjay Manjrekar explains Kieron Pollard's 'range' again,2821344,159,79,0,0.00
IPL 2017: Stokes of genius,6455575,159,79,0,0.00
IPL 2017: Suresh Raina crosses Virat Kohli to become highest run scorer,4091918,159,79,0,0.00
IPL 2017: Twitterati go berserk as MI win in close finish against KKR,2394152,159,79,0,0.00
IPL 2017: Virat Kohli undergoes fielding drills in RCB practice session,1095600,159,79,0,0.00
"IPL 2017: Yuvraj Singh fires SRH to victory over RCB, twitterati reacts",1095600,159,79,0,0.00
"IPL Final, RPS vs MI Preview: Mumbai Indians go for jinx breaking win against Rising Pune Supergiant in title decider",197078,159,79,0,0.00
"IPL Live Score, KXIP vs RPS: Pune lose MS Dhoni, Steve Smith against Punjab at Indore",6362881,159,79,0,0.00
"Ishant Sharma, Eoin Morgan in top base price bracket in IPL 10 auction",3816084,159,79,0,0.00
Jonty Sidhu takes first step to realising father's dream,1858540,159,79,0,0.00
"KKR vs DL: We know how to come back from failure, says Sanju Samson",683356,159,79,0,0.00
Ligue 1 Roundup: Nice hold on to beat Lorient despite Mario Balotelli's red card,5516075,159,79,0,0.00
"Live Cricket Score, India vs Bangladesh Test Day 2: India past 450 as Rahane approaches century against Bangladesh",1956868,159,79,0,0.00
"Live Cricket Score, South Africa vs Sri Lanka, 3rd ODI: South Africa lose Faf du Plessis against Sri Lanka",3816084,159,79,0,0.00
"Live cricket score, South Africa vs Sri Lanka, 5th ODI: South Africa enjoy fast start in the fifth ODI against Sri Lanka",4276816,159,79,0,0.00
Live Score India vs Bangladesh Test Day 1: India 237/3 after losing Murali Vijay against Bangladesh,3653200,159,79,0,0.00
"Lot of credit goes to MS Dhoni, Yuvraj Singh and Ashish Nehra: Virat Kohli",259176,159,79,0,0.00
"Lot of credit goes to MS Dhoni, Yuvraj Singh and Ashish Nehra: Virat Kohli",4998125,159,79,0,0.00
